Channel,Fixture ID,Instrument Type,GDTF Fixture Mode,Universe,U Address,Absolute Address,GDTF Fixture,DMX Footprint,Fixture Name,Device Type,Position,Unit Number,Layer,Color,UID
235,235,Led Tile RGB8 Wall,Default,4,103,1639,Generic@Led Tile RGB8 Wall,3,LED Backwall 35,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1192-9915-7BE5-E37892B0D613
236,236,Led Tile RGB8 Wall,Default,4,106,1642,Generic@Led Tile RGB8 Wall,3,LED Backwall 36,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3E5D-025A-C65E-FB7392B0D613
237,237,Led Tile RGB8 Wall,Default,4,109,1645,Generic@Led Tile RGB8 Wall,3,LED Backwall 37,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3E53-1D7C-11D0-106F92B0D613
238,238,Led Tile RGB8 Wall,Default,4,112,1648,Generic@Led Tile RGB8 Wall,3,LED Backwall 38,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-C143-E758-5C49-286A92B0D613
239,239,Led Tile RGB8 Wall,Default,4,115,1651,Generic@Led Tile RGB8 Wall,3,LED Backwall 39,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8009-8162-A7C2-416592B0D613
240,240,Led Tile RGB8 Wall,Default,4,118,1654,Generic@Led Tile RGB8 Wall,3,LED Backwall 40,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2780-7863-F23B-596092B0D613
241,241,Led Tile RGB8 Wall,Default,4,121,1657,Generic@Led Tile RGB8 Wall,3,LED Backwall 41,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-132B-693A-3DBD-765B92B0D613
242,242,Led Tile RGB8 Wall,Default,4,124,1660,Generic@Led Tile RGB8 Wall,3,LED Backwall 42,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-53C5-FD61-8836-8E5692B0D613
243,243,Led Tile RGB8 Wall,Default,4,127,1663,Generic@Led Tile RGB8 Wall,3,LED Backwall 43,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-180C-BB0C-D3AF-A75192B0D613
244,244,Led Tile RGB8 Wall,Default,4,130,1666,Generic@Led Tile RGB8 Wall,3,LED Backwall 44,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-7E18-AA17-1E21-BF4C92B0D613
245,245,Led Tile RGB8 Wall,Default,4,133,1669,Generic@Led Tile RGB8 Wall,3,LED Backwall 45,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5E01-8D36-699A-D4478DB0D613
246,246,Led Tile RGB8 Wall,Default,4,136,1672,Generic@Led Tile RGB8 Wall,3,LED Backwall 46,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-079A-9865-B413-EC428DB0D613
247,247,Led Tile RGB8 Wall,Default,4,139,1675,Generic@Led Tile RGB8 Wall,3,LED Backwall 47,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6DCB-DB3B-FF94-053E8DB0D613
248,248,Led Tile RGB8 Wall,Default,4,142,1678,Generic@Led Tile RGB8 Wall,3,LED Backwall 48,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6131-BD6B-4A0E-1D398DB0D613
249,249,Led Tile RGB8 Wall,Default,4,145,1681,Generic@Led Tile RGB8 Wall,3,LED Backwall 49,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-94ED-9A75-9587-2A348DB0D613
250,250,Led Tile RGB8 Wall,Default,4,148,1684,Generic@Led Tile RGB8 Wall,3,LED Backwall 50,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2D36-932D-E0F8-432F8DB0D613
251,251,Led Tile RGB8 Wall,Default,4,151,1687,Generic@Led Tile RGB8 Wall,3,LED Backwall 51,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3308-3636-2B72-5B2A8DB0D613
252,252,Led Tile RGB8 Wall,Default,4,154,1690,Generic@Led Tile RGB8 Wall,3,LED Backwall 52,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-368B-9F2B-76EB-70258DB0D613
